"PROVINCIA","MUNICIPIO","ESTACION","MAGNITUD","TECNICA","PERIODO_DE_ANALISIS","ANO","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
28,79,11,7,8,2,2024,2,26,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",15,"V",13,"V",11,"V",9,"V",9,"V",7,"V",8,"V",7,"V",8,"V",10,"V",16,"V",11,"V",7,"V",6,"V",3,"V",0,"N"
28,79,11,8,8,2,2024,2,26,5,"V",4,"V",3,"V",3,"V",3,"V",4,"V",8,"V",20,"V",37,"V",29,"V",22,"V",20,"V",20,"V",16,"V",17,"V",19,"V",23,"V",28,"V",40,"V",40,"V",32,"V",25,"V",14,"V",0,"N"
28,79,11,12,8,2,2024,2,26,6,"V",5,"V",5,"V",4,"V",5,"V",6,"V",10,"V",22,"V",60,"V",48,"V",39,"V",34,"V",34,"V",26,"V",29,"V",29,"V",35,"V",43,"V",65,"V",58,"V",42,"V",34,"V",19,"V",0,"N"
28,79,11,20,59,2,2024,2,26,0.1,"V",0.1,"V",0.2,"V",0.2,"V",0.1,"V",0.1,"V",0.2,"V",0.3,"V",0.8,"V",1.6,"V",1.9,"V",1.4,"V",1.6,"V",2,"V",1.9,"V",1.1,"V",2.2,"V",2.5,"V",3,"V",2.2,"V",1.9,"V",1.1,"V",1,"V",0,"N"
28,79,11,30,59,2,2024,2,26,0.1,"V",0.1,"V",0.1,"V",0.1,"V",0.1,"V",0.1,"V",0.1,"V",0.2,"V",0.4,"V",0.7,"V",0.6,"V",0.5,"V",0.5,"V",0.4,"V",0.5,"V",0.5,"V",0.6,"V",0.5,"V",0.7,"V",0.8,"V",0.7,"V",0.6,"V",0.6,"V",0,"N"
28,79,11,35,59,2,2024,2,26,0.1,"V",0.1,"V",0.1,"V",0.1,"V",0.1,"V",0.1,"V",0.1,"V",0.1,"V",0.1,"V",0.2,"V",0.2,"V",0.2,"V",0.2,"V",0.3,"V",0.2,"V",0.1,"V",0.2,"V",0.2,"V",0.3,"V",0.2,"V",0.2,"V",0.1,"V",0.1,"V",0,"N"
28,79,11,39,59,2,2024,2,26,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",0.6,"V",0.23,"V",0.36,"V",0.47,"V",0.22,"V",0.27,"V",0.23,"V",0.29,"V",0.23,"V",0.26,"V",0.33,"V",0.25,"V",0.28,"V",0.45,"V",0.13,"V",0,"N"
28,79,11,431,59,2,2024,2,26,0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",1,"V",1,"V",1,"V",1,"V",0,"N"
28,79,16,7,8,2,2024,2,26,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",3,"V",3,"V",2,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",2,"V",2,"V",2,"V",1,"V",1,"V",1,"V",0,"N"
28,79,16,8,8,2,2024,2,26,5,"V",4,"V",3,"V",3,"V",3,"V",6,"V",11,"V",24,"V",25,"V",19,"V",12,"V",11,"V",12,"V",10,"V",9,"V",13,"V",15,"V",21,"V",28,"V",32,"V",31,"V",19,"V",11,"V",0,"N"
