"PROVINCIA","MUNICIPIO","ESTACION","MAGNITUD","PUNTO_MUESTREO","ANO","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
28,79,102,81,"28079102_81_98",2024,2,29,1.9,"V",0.92,"V",0.78,"V",0.8,"V",0.72,"V",0.85,"V",0.68,"V",0.47,"V",0.28,"V",0.88,"V",0.72,"V",1.18,"V",1.5,"V",3.55,"V",4.35,"V",4.2,"V",5.45,"V",4.98,"V",5.72,"V",5.33,"V",5.13,"V",3.95,"V",2.7,"V",0,"N"
28,79,102,82,"28079102_82_98",2024,2,29,52,"V",32,"V",94,"V",92,"V",85,"V",139,"V",80,"V",107,"V",95,"V",112,"V",106,"V",177,"V",224,"V",259,"V",264,"V",294,"V",255,"V",273,"V",270,"V",265,"V",303,"V",277,"V",253,"V",0,"N"
28,79,102,83,"28079102_83_98",2024,2,29,4.7,"V",4.1,"V",3.7,"V",3.1,"V",2.8,"V",1.3,"V",1.2,"V",0.5,"V",2.4,"V",3.8,"V",5.2,"V",7.3,"V",9.5,"V",10.1,"V",10.4,"V",10.7,"V",10.1,"V",10.6,"V",9.5,"V",7.9,"V",6.4,"V",5.2,"V",4.4,"V",0,"N"
28,79,102,86,"28079102_86_98",2024,2,29,59,"V",63,"V",65,"V",68,"V",68,"V",76,"V",77,"V",80,"V",72,"V",66,"V",61,"V",54,"V",49,"V",53,"V",50,"V",47,"V",48,"V",41,"V",39,"V",39,"V",43,"V",44,"V",46,"V",0,"N"
28,79,102,87,"28079102_87_98",2024,2,29,943,"V",942,"V",942,"V",942,"V",942,"V",941,"V",941,"V",941,"V",941,"V",941,"V",941,"V",940,"V",940,"V",940,"V",939,"V",939,"V",939,"V",938,"V",938,"V",939,"V",939,"V",940,"V",941,"V",0,"N"
28,79,102,88,"28079102_88_98",2024,2,29,1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",1,"V",2,"V",61,"V",227,"V",411,"V",572,"V",681,"V",687,"V",665,"V",536,"V",350,"V",289,"V",74,"V",1,"V",1,"V",1,"V",1,"V",0,"N"
28,79,102,89,"28079102_89_98",2024,2,29,0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"V",0,"N"
28,79,103,81,"28079103_81_98",2024,2,29,0.55,"V",0.1,"V",0.12,"V",0,"V",0.05,"V",0.15,"V",0.23,"V",0.07,"V",0.18,"V",0.38,"V",0.37,"V",0.7,"V",1.4,"V",2.13,"V",3.08,"V",2.82,"V",3.67,"V",2.83,"V",3.65,"V",3.02,"V",2.63,"V",3.82,"V",3.86,"V",0,"N"
28,79,103,82,"28079103_82_98",2024,2,29,135,"V",71,"V",95,"V",26,"V",50,"V",47,"V",49,"V",3,"V",9,"V",85,"V",17,"V",139,"V",131,"V",13,"V",254,"V",271,"V",242,"V",255,"V",268,"V",265,"V",284,"V",286,"V",283,"V",0,"N"
28,79,103,83,"28079103_83_98",2024,2,29,3.1,"V",2,"V",0.9,"V",0.5,"V",0,"V",0.3,"V",-0.3,"V",-0.4,"V",0.4,"V",3.7,"V",6.4,"V",9.4,"V",11.2,"V",11.8,"V",12,"V",12,"V",11.9,"V",12.8,"V",10.4,"V",8.4,"V",7.2,"V",6.1,"V",5.3,"V",0,"N"
