"PROVINCIA","MUNICIPIO","ESTACION","MAGNITUD","PUNTO_MUESTREO","ANO","MES","DIA","H01","V01","H02","V02","H03","V03","H04","V04","H05","V05","H06","V06","H07","V07","H08","V08","H09","V09","H10","V10","H11","V11","H12","V12","H13","V13","H14","V14","H15","V15","H16","V16","H17","V17","H18","V18","H19","V19","H20","V20","H21","V21","H22","V22","H23","V23","H24","V24"
28,79,102,81,"28079102_81_98",2024,3,7,0.62,"V",0.57,"V",0.6,"V",1.45,"V",0.47,"V",1.1,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N"
28,79,102,82,"28079102_82_98",2024,3,7,47,"V",74,"V",57,"V",95,"V",34,"V",93,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N"
28,79,102,83,"28079102_83_98",2024,3,7,5.9,"V",6,"V",5.7,"V",4.7,"V",4.1,"V",3.6,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N"
28,79,102,86,"28079102_86_98",2024,3,7,60,"V",56,"V",57,"V",59,"V",63,"V",66,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N"
28,79,102,87,"28079102_87_98",2024,3,7,938,"V",938,"V",938,"V",937,"V",937,"V",936,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N"
28,79,102,88,"28079102_88_98",2024,3,7,1,"V",1,"V",1,"V",1,"V",1,"V",1,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N"
28,79,102,89,"28079102_89_98",2024,3,7,0,"V",0,"V",0,"V",0,"V",0,"V",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N"
28,79,103,81,"28079103_81_98",2024,3,7,0.08,"V",0.02,"V",0.27,"V",0.15,"V",0.05,"V",0.07,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N"
28,79,103,82,"28079103_82_98",2024,3,7,84,"V",141,"V",32,"V",107,"V",35,"V",63,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N"
28,79,103,83,"28079103_83_98",2024,3,7,5,"V",4,"V",3.9,"V",3.9,"V",2.5,"V",2.2,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N",0,"N"
